DivisionName  ,Region,Superintendent ,PhoneNumber,FaxNumber,FullAddress,DivisionOfficeLatitude,DivisionOfficeLongitude
Accomack County Public Schools,2,Mr. Warren C. Holland ,757-787-5754,757-787-2951,"PO Box 330, Accomac, VA 23301",37.712919,-75.661132
Albemarle County Public Schools,5,Dr. Matthew S. Haas ,434-296-5826,434-296-5869,"401 McIntire Road, Charlottesville, VA 22902",38.035825,-78.481935
Alexandria City Public Schools,4,Dr. Gregory C. Hutchings Jr.,703-619-8000,703-619-8091,"1340 Braddock Place, Alexandria, VA 22314",38.815808,-77.051712
Alleghany County Public Schools,6,Kimberly K. Halterman ,540-863-1800,540-863-1804,"P.O. Drawer 140, Low Moor, VA 24457",37.79398,-79.86887
Amelia County Public Schools,8,Dr. Lorena Harper ,804-561-2621,804-561-3057,"8701 Otterburn Road Suite 101, Amelia, VA 23002",37.334306,-77.988266
Amherst County Public Schools,5,Dr. Robert Arnold ,434-946-9387,434-946-9346,"P. O. Box 1257, Amherst, VA 24521",37.59162,-79.108441
Appomattox County Public Schools,8,Dr. Annette A. Bennett ,434-352-8251,434-352-0883,"P.O. Box 548, Appomattox, VA 24522",37.356134,-78.848202
Arlington County Public Schools,4,Francisco Duran ,703-228-6010,703-228-6188,"2110 Washington Blvd., Arlington, VA 22204",38.872699,-77.083402
Augusta County Public Schools,5,Dr. Eric W. Bond ,540-245-5100,540-245-5115,"P O Box 960, Verona, VA 24482",38.210585,-78.989369
Bath County Public Schools,5,Mrs. Sue F. Hirsh ,540-839-2722,540-839-3040,"PO Box 67, Warm Springs, VA 24484",38.04624,-79.79061
Bedford County Public Schools,5,Position Vacant,540-5861045,,"310 S. Bridge Street, P.O. Box 748, Bedford, VA 24523",37.3315449,-79.5272726
Bland County Public Schools,7,David Scott Meade ,276-688-3361,276-688-4659,"361 Bears Trail, Bastian, VA 24314",37.156911,-81.147532
Botetourt County Public Schools,6,Dr. Jonathan Russ ,540-473-8263,540-473-8298,"143 Poor Farm Rd, Fincastle, VA 24090",37.505042,-79.864796
Bristol City Public Schools,7,Dr. Keith Perrigan ,276-821-5600,276-821-5601,"280 Lee Street, Bristol, VA 24201",36.598043,-82.209628
Brunswick County Public Schools,8,Dr. Kristy Somerville-Midgette ,434-848-3138,434-848-4001,"1718 Farmer's Field Road, Lawrenceville, VA 23868",36.810078,-77.772833
Buchanan County Public Schools,7,Mrs. Melanie L. Hibbitts ,276-935-4551,276-935-7150,"4447 Slate Creek Road Suite 100, Grundy, VA 24614",37.298344,-82.036032
Buckingham County Public Schools,8,Dr. John R. Keeler ,434-969-6100,434-969-1176,"15595 West James Anderson Rd., Buckingham, VA 23921",37.542549,-78.513033
Buena Vista City Public Schools,5,Dr. Tony Francis ,540-261-2129,540-261-2967,"2329 Chestnut Ave. Suite A, Buena Vista, VA 24416",37.736796,-79.351204
Campbell County Public Schools,5,Dr. Robert Johnson ,434-332-3458,434-528-1655,"P.O. Box 99, Rustburg, VA 24588",37.283924,-79.090832
Caroline County Public Schools,3,Dr. Sarah Calveric ,804-633-5088,804-633-5563,"16261 Richmond Turnpike, Bowling Green, VA 22427",38.037633,-77.342173
Carroll County Public Schools,7,Dr. Mark A. Burnette ,276-730-3200,276-730-3210,"605-9 Pine St, Hillsville, VA 24343",36.767822,-80.734828
Charles City County Public Schools,1,Dr. Dalphine A. Joppy ,804-652-4612,804-829-2363,"10035 Courthouse Rd, Charles City, VA 23030",37.351602,-77.07634
Charlotte County Public Schools,8,Dr. Robbie W. Mason ,434-542-5151,434-542-4261,"PO Box 790, Charlotte Court House, VA 23923",37.087895,-78.637846
Charlottesville City Public Schools,5,Dr. Royal A. Gurley Jr.,434-245-2400,434-245-2603,"1562 Dairy Rd, Charlottesville, VA 22903",38.054776,-78.484166
Chesapeake City Public Schools,2,Dr. Jared A. Cotton ,757-547-0153,757-547-0196,"312 Cedar Rd, Chesapeake, VA 23322",36.71505,-76.250935
Chesterfield County Public Schools,1,Dr. Mervin B Daugherty ,804-748-1434,804-796-7178,"P.O. Box 10, Chesterfield, VA 23832",37.392683,-77.605362
Clarke County Public Schools,4,Dr. Chuck  Bishop ,540-955-6100,540-955-6145,"317 W Main St Ste A, Berryville, VA 22611",39.154979,-77.98749
Colonial Beach Public Schools,3,Dr. Clint  Mitchell ,804-224-0906,804-224-8357,"16 N. Irving Ave, Colonial Beach, VA 22443",38.250335,-76.962041
Colonial Heights City Public Schools,1,Dr. William D. Sroufe ,804-524-3400,804-526-4524,"512 Boulevard, Colonial Heights, VA 23834",37.242174,-77.408404
Covington City Public Schools,6,Melinda D. Snead-Johnson ,540-965-1400,540-965-1404,"340 E Walnut St, Covington, VA 24426",37.786916,-79.986663
Craig County Public Schools,6,Ms. Jeanette Day Warwick ,540-864-5191,540-864-6885,"PO Box 245, New Castle, VA 24127",37.498957,-80.138591
Culpeper County Public Schools,4,Dr. Anthony S. Brads ,540-825-3677,540-829-2111,"471 James Madison Hwy., Suite 201, Culpeper, VA 22701",38.47991,-77.986225
Cumberland County Public Schools,8,Dr. Chip Jones ,804-492-4212,804-492-9869,"PO Box 170, Cumberland, VA 23040",37.518167,-78.214232
Danville City Public Schools,6,Dr. Angela Hairston ,434-799-6400,434-799-5008,"PO Box 9600, Danville, VA 24543",36.592679,-79.410983
Dickenson County Public Schools,7,Mrs. Haydee Robinson ,276-926-4643,276-926-6374,"P.O. Box 1127, Clintwood, VA 24228",37.149797,-82.463069
Dinwiddie County Public Schools,1,Dr. Kari Weston ,804-469-4190,804-469-4199,"P.O. Box 7, Dinwiddie, VA 23841",37.079304,-77.601563
Essex County Public Schools,3,Dr. Harry Thomas III,804-443-4366,804-443-4498,"P.O. Box 756, Tappahannock, VA 22560",37.916613,-76.947547
Fairfax Public Schools,4,Dr. Phyllis Pajardo ,703-385-7911,703-691-2028,"10455 Armstrong St., Fairfax, VA 22030",38.840982,-77.308108
Fairfax County Public Schools,4,Dr. Scott S. Brabrand ,571-423-1010,571-423-1007,"Gatehouse Adm Ctr, 8115 Gatehouse Rd, Falls Church, VA 22042",38.869325,-77.222895
Falls Church City Public Schools,4,Dr. Peter Noonan ,703-248-5601,703-248-5613,"150 S Washington St Suite 400, Falls Church, VA 22046",38.88146,-77.172249
Fauquier County Public Schools,4,Dr. David Jeck ,540-422-7000,540-422-7059,"320 Hospital Drive, Suite 40, Warrenton, VA 20186",38.715697,-77.809803
Floyd County Public Schools,6,Dr. John Wheeler ,540-745-9400,540-745-9496,"140 Harris Hart Rd NE, Floyd, VA 24091",36.916258,-80.316501
Fluvanna County Public Schools,5,Position Vacant,434-589-8208,,"14455 James Madison Highway, Palmyra, VA 22963",37.8751468,-78.2642641
Franklin City Public Schools,2,Tamara Sterling ,757-569-8111,757-516-1015,"207 W Second Ave, Franklin, VA 23851",36.676917,-76.923674
Franklin County Public Schools,6,Dr. Joyce Bernice Cobbs ,540-483-5138,540-301-5867,"25 Bernard Road, Rocky Mount, VA 24151",37.015058,-79.870339
Frederick County Public Schools,4,Dr. David T. Sovine ,540-662-3888,540-722-2788,"P O Box 3508, Winchester, VA 22604",39.167603,-78.168643
Fredericksburg City Public Schools,3,Dr. Marceline R. Catlett ,540-372-1130,540-372-1111,"210 Ferdinand Street, Fredericksburg, VA 22401",38.293885,-77.458531
Galax City Public Schools,7,Susan Tilley ,276-236-2911,276-236-5776,"223 Long St, Galax, VA 24333",36.652426,-80.923685
Giles County Public Schools,7,Dr. Terry E. Arbogast II,540-921-1421,540-921-1424,"151 School Rd, Pearisburg, VA 24134",37.331461,-80.743945
Gloucester County Public Schools,3,Dr. Walter Clemons ,804-693-5300,804-693-6275,"6099 T.C. Walker Road, Gloucester, VA 23061",37.37906,-76.508583
Goochland County Public Schools,1,Dr. Jeremy J. Raley ,804-556-5630,804-556-3847,"PO Box 169, Goochland, VA 23063",37.725416,-77.995
Grayson County Public Schools,7,Mr. Kelly Wilmore ,276-773-2832,276-773-2939,"PO Box 888, Independence, VA 24348",36.638835,-81.194296
Greene County Public Schools,5,Dr. Andrea Whitmarsh ,434-939-9000,434-985-4686,"P.O. Box 1140, Stanardsville, VA 22973",38.312057,-78.482014
Greensville County Public Schools,8,Dr. Kelvin Edwards ,434-634-3748,434-634-3495,"105 Ruffin Street, Emporia, VA 23847",36.69967,-77.535631
Halifax County Public Schools,8,Position Vacant,434-476-2171,,"1030 Mary Bethune Street, P.O. Box 1849, Halifax, VA 24558",36.7681394,-78.9259452
Hampton City Public Schools,2,Dr. Jeffery O. Smith ,757-727-2000,757-727-2002,"1 Franklin Street, Hampton, VA 23669",37.02529,-76.348083
Hanover County Public Schools,1,Dr. Michael B. Gill ,804-365-4500,804-365-4680,"200 Berkley St, Ashland, VA 23005",37.768964,-77.474825
Harrisonburg City Public Schools,5,Dr. Michael  Richards ,540-434-9916,540-432-3260,"One Court Square, Harrisonburg, VA 22801",38.449772,-78.869637
Henrico County Public Schools,1,Dr. Amy E. Cashwell ,804-652-3717,804-652-3856,"3820 Nine Mile Rd., Henrico, VA 23223",37.543262,-77.382336
Henry County Public Schools,6,Mrs. Sandy C. Strayer ,276-634-4700,276-634-0181,"PO Box 8958, Collinsville, VA 24078",36.724691,-79.914912
Highland County Public Schools,5,Dr. Thomas Schott ,540-468-6300,540-468-6306,"P.O. Box 250, Monterey, VA 24465",38.385967,-79.559157
Hopewell City Public Schools,1,Dr. Melody D. Hackney ,804-541-6400,804-541-6401,"103 N. 12th Avenue, Hopewell, VA 23860",37.301723,-77.296735
Isle of Wight County Public Schools,2,Dr. James Thornton ,757-357-8841,757-357-0849,"820 West Main Street, Smithfield, VA 23430",36.975976,-76.650224
King George County Public Schools,3,Dr. Robert B. Benson ,540-775-5833,540-775-2165,"P.O. Box 1239, King George, VA 22485",38.277209,-77.17225
King William County Public Schools,3,Dr. David O White ,804-769-3434,804-769-3312,"PO Box 185, King William, VA 23086",37.677991,-77.028495
King and Queen County Public Schools,3,Dr. Carol B. Carter ,804-785-5981,804-785-5686,"242 Allens Circle Suite M, King And Queen CH, VA 23085",37.669091,-76.876982
Lancaster County Public Schools,3,Mr. Dan Russell ,804-462-5100,804-435-3309,"P.O. Box 2000, Kilmarnock, VA 22482",37.71041,-76.37967
Lee County Public Schools,7,Mr. Brian Dean ,276-346-2107,276-346-0307,"155 Vo Tech Drive, Jonesville, VA 24263",36.731208,-83.087219
Lexington City Public Schools,5,Mrs. Rebecca Walters ,540-463-7146,540-464-5230,"300 Diamond St, Lexington, VA 24450",37.786387,-79.434993
Loudoun County Public Schools,4,Position Vacant,571-252-1000,,"21000 Education Court, Ashburn, VA 20148",39.033664,-77.519477
Louisa County Public Schools,5,Mr. Doug Straley ,540-894-5115,540-894-0252,"953 Davis Hwy, Mineral, VA 23117",38.020693,-77.923764
Lunenburg County Public Schools,8,Mr. Charles M. Berkley Jr.,434-676-2467,434-676-1000,"P. O. Box 710, Kenbridge, VA 23944",36.909212,-78.142642
Lynchburg City Public Schools,5,Dr. Crystal  Edwards ,434-515-5000,434-846-1500,"P. O. Box 2497, Lynchburg, VA 24505",37.400944,-79.178506
Madison County Public Schools,4,Ms. Anna Ruth Graham ,540-948-5395,540-948-6988,"60 School Board Court, Madison, VA 22727",38.37034,-78.263139
Manassas City Public Schools,4,Dr. Kevin Newman ,571-377-6008,703-257-8801,"P.O. Box 520, Manassas, VA 20110",38.749207,-77.487762
Manassas Park City Public Schools,4,Dr. Melissa Saunders ,703-335-8850,703-361-4583,"One Park Center Ct Ste A, Manassas Park, VA 20111",38.783534,-77.470411
Martinsville City Public Schools,6,Dr. Zebedee Talley ,276-403-5820,276-403-5830,"PO Box 5548, Martinsville, VA 24115",36.679571,-79.865168
Mathews County Public Schools,3,Mrs. Nancy B. Welch ,804-725-3909,804-725-3951,"PO Box 369, Mathews, VA 23109",37.410286,-76.294103
Mecklenburg County Public Schools,8,Mr. Paul C Nichols ,434-738-6111,434-738-6033,"P.O. Box 190, Boydton, VA 23917",36.655033,-78.350388
Middlesex County Public Schools,3,Dr. Tracy B. Seitz ,804-758-2277,804-758-3727,"P.O. Box 205, Saluda, VA 23149",37.60597,-76.59495
Montgomery County Public Schools,6,Dr. Mark Miear ,540-382-5100,540-381-6127,"750 Imperial St., Christiansburg, VA 24073",37.130858,-80.392208
Nelson County Public Schools,5,Dr. Martha Eagle ,434-260-7646,434-263-7115,"PO Box 276, Lovingston, VA 22949",37.753,-78.859153
New Kent County Public Schools,1,Dr. Brian Nichols ,804-966-9650,804-966-8556,"PO Box 110, New Kent, VA 23124",37.535579,-77.005863
Newport News City Public Schools,2,Dr. George Parker III,757-591-4500,757-591-4685,"12465 Warwick Blvd, Newport News, VA 23606",37.07317,-76.494348
Norfolk City Public Schools,2,Dr. Sharon Byrdsong ,757-628-3830,757-628-3820,"PO Box 1357, Norfolk, VA 23501",36.895911,-76.208521
Northampton County Public Schools,2,Mr. Charles Eddie Lawrence ,757-678-5151,757-678-7267,"7207 Young St, Machipongo, VA 23405",37.403768,-75.910444
Northumberland County Public Schools,3,Dr. Holly Wargo ,804-529-6134,804-580-4051,"P.O. Box 730, Heathsville, VA 22435",37.961716,-76.577422
Norton City Public Schools,7,Dr. Gina Wohlford ,276-679-2330,276-679-4315,"P. O. Box 498, Norton, VA 24273",36.93767,-82.622624
Nottoway County Public Schools,8,Dr. Tameshia V. Grimes ,434-645-9596,434-645-1266,"P.O. Box 47, Nottoway, VA 23955",37.116094,-78.057832
Orange County Public Schools,4,Dr. Cecil Snead ,540-661-4550,540-661-4599,"200 Dailey Drive, Orange, VA 22960",38.239592,-78.117072
Page County Public Schools,4,Dr. Antonia Fox ,540-743-6533,540-743-7784,"735 W Main St, Luray, VA 22835",38.664233,-78.474426
Patrick County Public Schools,6,Mr. Jason Wood ,276-694-3163,276-694-3170,"P.O. Box 346, Stuart, VA 24171",36.689183,-80.251601
Petersburg City Public Schools,1,Dr. Maria Pitre-Martin ,804-732-0510,804-325-8961,"255 South Boulevard East, Petersburg, VA 23805",37.206555,-77.381885
Pittsylvania County Public Schools,6,Dr. Mark R. Jones ,434-432-2761,434-432-9560,"P. O. Box 232, Chatham, VA 24531",36.830785,-79.412735
Poquoson City Public Schools,2,Arty C. Tillett ,757-868-3055,757-868-3107,"500 City Hall Ave, Room 219, Poquoson, VA 23662",37.121868,-76.396698
Portsmouth City Public Schools,2,Dr. Elie Bracy ,757-393-8742,757-393-5236,"PO Box 998, Portsmouth, VA 23705",36.868553,-76.355165
Powhatan County Public Schools,1,Dr. Eric L Jones ,804-598-5700,804-598-5720,"4290 Anderson Highway, Pocahontas Landmark Center, Powhatan, VA 23139",37.558076,-77.947191
Prince Edward County Public Schools,8,Dr. Barbara A Johnson ,434-315-2100,434-392-1911,"35 Eagle Drive, Farmville, VA 23901",37.267205,-78.405593
Prince George County Public Schools,1,Dr. Lisa Pennycuff ,804-733-2700,804-861-5271,"PO Box 400, Prince George, VA 23875",37.234733,-77.263465
Prince William County Public Schools,4,Dr. LaTanya D. McDade ,703-791-8712,703-791-7309,"P. O. Box 389, Manassas, VA 20108",38.744685,-77.487162
Pulaski County Public Schools,7,Dr. Kevin Siers ,540-994-2550,540-994-2552,"202 N Washington Ave, Pulaski, VA 24301",37.047958,-80.779713
Radford City Public Schools,7,Mr. Robert Graham ,540-731-3647,540-731-4419,"1612 Wadworth St., Radford, VA 24141",37.119732,-80.556541
Rappahannock County Public Schools,4,Dr. Shannon Grimsley ,540-227-0023,540-987-8896,"6 Schoolhouse Road, Washington, VA 22747",38.690051,-78.178002
Richmond City Public Schools,1,Jason Kamras ,804-780-7700,804-780-4122,"301 North 9th St, 17th Floor, Richmond, VA 23219",37.541056,-77.43304
Richmond County Public Schools,3,Dr. Bernard S Davis III,804-333-3681,804-333-5586,"PO Box 1507, Warsaw, VA 22572",37.96954,-76.766517
Roanoke City Public Schools,6,Mrs. Verletta White ,540-853-2381,540-853-2951,"P O Box 13145, Roanoke, VA 24031",37.274175,-79.95786
Roanoke County Public Schools,6,Dr. Ken Nicely ,540-562-3900,540-562-3994,"5937 Cove Rd NW, Roanoke, VA 24019",37.321067,-80.021826
Rockbridge County Public Schools,5,Dr. Phillip J. Thompson ,540-463-7386,540-463-7823,"2893 Collierstown Road, Lexington, VA 24450",37.762163,-79.550923
Rockingham County Public Schools,5,Dr. Oskar Scheikl ,540-564-3200,540-564-3241,"100 Mount Clinton Pike, Harrisonburg, VA 22802",38.466204,-78.85402
Russell County Public Schools,7,Dr. Greg A Brown ,276-889-6500,276-889-6508,"P. O. Box 8, Lebanon, VA 24266",36.908553,-82.053655
Salem City Public Schools,6,Dr. Curtis Hicks ,540-389-0130,540-389-4135,"510 South College Ave, Salem, VA 24153",37.287922,-80.052832
Scott County Public Schools,7,Mr. John Ferguson ,276-386-6118,276-386-2684,"340 E Jackson St, Gate City, VA 24251",36.641064,-82.575864
Shenandoah County Public Schools,4,Ms. Melody A. Sheppard ,540-459-6222,540-459-6707,"600 N Main St Suite #200, Woodstock, VA 22664",38.888625,-78.498934
Smyth County Public Schools,7,Dr. Dennis G Carter ,276-783-3791,276-783-3291,"121 Bagley Cir Ste 300, Marion, VA 24354",36.833298,-81.51325
Southampton County Public Schools,2,Dr. Gwendolyn Page Shannon ,757-653-2692,757-653-9422,"21308 Plank Road, Courtland, VA 23837",36.728679,-77.073106
Spotsylvania County Public Schools,3,Dr. Carol Flenard ,540-834-2500,540-834-2556,"8020 River Stone Drive, Fredericksburg, VA 22407",38.18071,-77.517734
Stafford County Public Schools,3,Dr. Thomas W Taylor ,540-658-6000,540-658-5963,"31 Stafford Avenue, Stafford, VA 22554",38.424904,-77.406354
Staunton City Public Schools,5,Dr. Garett M. Smith ,540-332-3920,540-332-3924,"116 W. Beverley Street, Staunton, VA 24401",38.149119,-79.074083
Suffolk City Public Schools,2,Dr. John Gordon III,757-925-6750,757-925-6751,"PO Box 1549, Suffolk, VA 23439",36.746101,-76.665251
Surry County Public Schools,1,Dr. Serbrenia James Sims ,757-294-5229,757-294-5263,"P. O. Box 317, Surry, VA 23883",37.13793,-76.83524
Sussex County Public Schools,1,Dr. Arthur L. Jarrett Jr.,434-246-1099,434-246-8214,"21302 Sussex Drive, Stony Creek, VA 23882",36.91995,-77.258146
Tazewell County Public Schools,7,Dr. Christopher Stacy ,276-988-5511,276-988-1976,"506 Jeffersonville Street, Tazewell, VA 24651",37.115231,-81.526811
Virginia Beach City Public Schools,2,Dr. Aaron C. Spence ,757-263-1007,757-263-1397,"PO Box 6038, Virginia Beach, VA 23456",36.746599,-76.039092
Warren County Public Schools,4,Dr. Chris L. Ballenger ,540-635-2171,540-636-4195,"210 North Commerce Avenue, Front Royal, VA 22630",38.922173,-78.191887
Washington County Public Schools,7,Dr. Brian C. Ratliff ,276-739-3003,276-623-4137,"812 Thompson Dr, Abingdon, VA 24210",36.721302,-81.951615
Waynesboro City Public Schools,5,Dr. Jeffrey D. Cassell ,540-946-4600,540-946-4608,"301 Pine Ave, Waynesboro, VA 22980",38.068289,-78.895936
West Point Public Schools,3,Mr. Larry Frazier ,804-843-4368,804-843-4408,"PO Box T, West Point, VA 23181",37.607215,-76.891642
Westmoreland County Public Schools,3,Dr. Michael D. Perry ,804-493-8018,804-493-9323,"141 Opal Lane, Montross, VA 22520",38.091815,-76.805656
Williamsburg-James City County Public Schools,2,Dr. Olwen Herron ,757-603-6400,757-565-9383,"PO Box 8783, Williamsburg, VA 23187",37.268856,-76.720941
Winchester City Public Schools,4,Dr. Jason Van Heukelum ,540-667-4253,540-722-3583,"12 N Washington St, Winchester, VA 22601",39.185236,-78.16813
Wise County Public Schools,7,Dr. Gregory Clark Mullins ,276-328-8017,276-328-3350,"628 Lake Street NE, Wise, VA 24293",36.980548,-82.569364
Wythe County Public Schools,7,Dr. G. Wesley Poole ,276-228-5411,276-228-9192,"1570 W Reservoir St, Wytheville, VA 24382",36.942166,-81.103651
York County Public Schools,2,Dr. Victor D. Shandor ,757-898-0300,855-878-9063,"302 Dare Rd, Yorktown, VA 23692",37.162573,-76.456049
