"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2015-2016","97","Wythe County","4,237"," ","4,237"
"2015-2016","98","York County","12,699","1","12,700"
"2016-2017","1","Accomack County","5,262"," ","5,262"
"2016-2017","2","Albemarle County","13,790","28","13,818"
"2016-2017","101","Alexandria City","15,301","117","15,418"
"2016-2017","3","Alleghany County","2,244"," ","2,244"
"2016-2017","4","Amelia County","1,808"," ","1,808"
"2016-2017","5","Amherst County","4,139"," ","4,139"
"2016-2017","6","Appomattox County","2,304"," ","2,304"
"2016-2017","7","Arlington County","26,176"," ","26,176"
"2016-2017","8","Augusta County","10,384","2","10,386"
"2016-2017","9","Bath County","562"," ","562"
"2016-2017","10","Bedford County","9,702","5","9,707"
"2016-2017","11","Bland County","771"," ","771"
"2016-2017","12","Botetourt County","4,654"," ","4,654"
"2016-2017","102","Bristol City","2,299"," ","2,299"
"2016-2017","13","Brunswick County","1,720"," ","1,720"
"2016-2017","14","Buchanan County","2,922"," ","2,922"
"2016-2017","15","Buckingham County","2,054"," ","2,054"
"2016-2017","103","Buena Vista City","959"," ","959"
"2016-2017","16","Campbell County","8,020"," ","8,020"
"2016-2017","17","Caroline County","4,299"," ","4,299"
"2016-2017","18","Carroll County","3,836"," ","3,836"
"2016-2017","19","Charles City County","679"," ","679"
"2016-2017","20","Charlotte County","1,924"," ","1,924"
"2016-2017","104","Charlottesville City","4,471","7","4,478"
"2016-2017","136","Chesapeake City","40,192"," ","40,192"
"2016-2017","21","Chesterfield County","60,060","43","60,103"
"2016-2017","22","Clarke County","1,995","2","1,997"
"2016-2017","202","Colonial Beach","597"," ","597"
"2016-2017","106","Colonial Heights City","2,837"," ","2,837"
"2016-2017","107","Covington City","1,064"," ","1,064"
"2016-2017","23","Craig County","615"," ","615"
"2016-2017","24","Culpeper County","8,202","2","8,204"
"2016-2017","25","Cumberland County","1,364"," ","1,364"
"2016-2017","108","Danville City","5,956"," ","5,956"
"2016-2017","26","Dickenson County","2,189"," ","2,189"
"2016-2017","27","Dinwiddie County","4,394"," ","4,394"
"2016-2017","28","Essex County","1,406"," ","1,406"
"2016-2017","29","Fairfax County","187,467","31","187,498"
"2016-2017","109","Falls Church City","2,670","2","2,672"
"2016-2017","30","Fauquier County","11,065","8","11,073"
"2016-2017","31","Floyd County","2,042"," ","2,042"
"2016-2017","32","Fluvanna County","3,588","1","3,589"
"2016-2017","135","Franklin City","1,128"," ","1,128"
"2016-2017","33","Franklin County","7,352"," ","7,352"
"2016-2017","34","Frederick County","13,338"," ","13,338"
"2016-2017","110","Fredericksburg City","3,577"," ","3,577"
"2016-2017","111","Galax City","1,332"," ","1,332"
"2016-2017","35","Giles County","2,401"," ","2,401"
"2016-2017","36","Gloucester County","5,500"," ","5,500"
"2016-2017","37","Goochland County","2,594"," ","2,594"
"2016-2017","38","Grayson County","1,644"," ","1,644"
"2016-2017","39","Greene County","3,177"," ","3,177"
"2016-2017","40","Greensville County","2,547"," ","2,547"
"2016-2017","41","Halifax County","5,187","3","5,190"
"2016-2017","112","Hampton City","20,286","1","20,287"
"2016-2017","42","Hanover County","18,039"," ","18,039"
"2016-2017","113","Harrisonburg City","6,187","1","6,188"
"2016-2017","43","Henrico County","51,425"," ","51,425"
"2016-2017","44","Henry County","7,508"," ","7,508"
"2016-2017","45","Highland County","218"," ","218"
"2016-2017","114","Hopewell City","4,292"," ","4,292"
"2016-2017","46","Isle of Wight County","5,451"," ","5,451"
"2016-2017","48","King George County","4,346","19","4,365"
"2016-2017","50","King William County","2,199"," ","2,199"
"2016-2017","49","King and Queen County","852"," ","852"
"2016-2017","51","Lancaster County","1,221"," ","1,221"
"2016-2017","52","Lee County","3,262"," ","3,262"
"2016-2017","137","Lexington City","510"," ","510"
"2016-2017","53","Loudoun County","78,348","331","78,679"
"2016-2017","54","Louisa County","4,864"," ","4,864"
"2016-2017","55","Lunenburg County","1,563"," ","1,563"
"2016-2017","115","Lynchburg City","8,477"," ","8,477"
"2016-2017","56","Madison County","1,741","30","1,771"
"2016-2017","143","Manassas City","7,713"," ","7,713"
"2016-2017","144","Manassas Park City","3,588"," ","3,588"
"2016-2017","116","Martinsville City","2,041","1","2,042"
"2016-2017","57","Mathews County","1,091"," ","1,091"
"2016-2017","58","Mecklenburg County","4,424"," ","4,424"
"2016-2017","59","Middlesex County","1,240"," ","1,240"
"2016-2017","60","Montgomery County","9,674","11","9,685"
"2016-2017","62","Nelson County","1,898"," ","1,898"
"2016-2017","63","New Kent County","3,156"," ","3,156"
"2016-2017","117","Newport News City","28,843","17","28,860"
"2016-2017","118","Norfolk City","31,425"," ","31,425"
"2016-2017","65","Northampton County","1,668"," ","1,668"
"2016-2017","66","Northumberland County","1,302","36","1,338"
"2016-2017","119","Norton City","789"," ","789"
"2016-2017","67","Nottoway County","2,165"," ","2,165"
"2016-2017","68","Orange County","5,109","2","5,111"
"2016-2017","69","Page County","3,438","5","3,443"
"2016-2017","70","Patrick County","2,752"," ","2,752"
"2016-2017","120","Petersburg City","4,275"," ","4,275"
"2016-2017","71","Pittsylvania County","9,182"," ","9,182"
"2016-2017","142","Poquoson City","2,058","19","2,077"
"2016-2017","121","Portsmouth City","14,611","3","14,614"
"2016-2017","72","Powhatan County","4,266","10","4,276"
"2016-2017","73","Prince Edward County","2,134"," ","2,134"
"2016-2017","74","Prince George County","6,446"," ","6,446"
"2016-2017","75","Prince William County","89,345","32","89,377"
"2016-2017","77","Pulaski County","4,270"," ","4,270"
"2016-2017","122","Radford City","1,659"," ","1,659"
"2016-2017","78","Rappahannock County","866"," ","866"
"2016-2017","123","Richmond City","24,868"," ","24,868"
"2016-2017","79","Richmond County","1,314"," ","1,314"
"2016-2017","124","Roanoke City","13,677"," ","13,677"
"2016-2017","80","Roanoke County","14,235"," ","14,235"
"2016-2017","81","Rockbridge County","2,844"," ","2,844"
"2016-2017","82","Rockingham County","11,852","15","11,867"
"2016-2017","83","Russell County","3,979"," ","3,979"
"2016-2017","139","Salem City","3,852"," ","3,852"
"2016-2017","84","Scott County","3,732"," ","3,732"
"2016-2017","85","Shenandoah County","6,007"," ","6,007"
"2016-2017","86","Smyth County","4,505"," ","4,505"
"2016-2017","87","Southampton County","2,750"," ","2,750"
"2016-2017","88","Spotsylvania County","23,597","20","23,617"
"2016-2017","89","Stafford County","28,386","293","28,679"
"2016-2017","126","Staunton City","2,679"," ","2,679"
"2016-2017","127","Suffolk City","14,284"," ","14,284"
"2016-2017","90","Surry County","826"," ","826"
"2016-2017","91","Sussex County","1,106"," ","1,106"
"2016-2017","92","Tazewell County","5,959","1","5,960"
"2016-2017","128","Virginia Beach City","69,085"," ","69,085"
"2016-2017","93","Warren County","5,385","4","5,389"
"2016-2017","94","Washington County","7,264","1","7,265"
"2016-2017","130","Waynesboro City","3,170"," ","3,170"
"2016-2017","207","West Point","806"," ","806"
"2016-2017","95","Westmoreland County","1,703"," ","1,703"
"2016-2017","131","Williamsburg-James City County","11,607","168","11,775"
"2016-2017","132","Winchester City","4,471"," ","4,471"
"2016-2017","96","Wise County","5,889"," ","5,889"
"2016-2017","97","Wythe County","4,220","1","4,221"
"2016-2017","98","York County","12,682","50","12,732"
"2017-2018","1","Accomack County","5,194","1","5,195"
"2017-2018","2","Albemarle County","13,927","10","13,937"
"2017-2018","101","Alexandria City","15,710","92","15,802"
"2017-2018","3","Alleghany County","2,190"," ","2,190"
"2017-2018","4","Amelia County","1,792"," ","1,792"
"2017-2018","5","Amherst County","4,048"," ","4,048"
"2017-2018","6","Appomattox County","2,270"," ","2,270"
"2017-2018","7","Arlington County","26,975"," ","26,975"
"2017-2018","8","Augusta County","10,362","1","10,363"
"2017-2018","9","Bath County","555"," ","555"
"2017-2018","10","Bedford County","9,719","3","9,722"
"2017-2018","11","Bland County","730"," ","730"
"2017-2018","12","Botetourt County","4,648"," ","4,648"
"2017-2018","102","Bristol City","2,263"," ","2,263"
"2017-2018","13","Brunswick County","1,644"," ","1,644"
"2017-2018","14","Buchanan County","2,836"," ","2,836"
"2017-2018","15","Buckingham County","2,089"," ","2,089"
"2017-2018","103","Buena Vista City","948"," ","948"
"2017-2018","16","Campbell County","7,895"," ","7,895"
"2017-2018","17","Caroline County","4,250"," ","4,250"
"2017-2018","18","Carroll County","3,807"," ","3,807"
"2017-2018","19","Charles City County","650"," ","650"
"2017-2018","20","Charlotte County","1,880","1","1,881"
"2017-2018","104","Charlottesville City","4,527","2","4,529"
"2017-2018","136","Chesapeake City","40,646","10","40,656"
"2017-2018","21","Chesterfield County","60,915","61","60,976"
"2017-2018","22","Clarke County","1,974","4","1,978"
"2017-2018","202","Colonial Beach","640"," ","640"
"2017-2018","106","Colonial Heights City","2,833"," ","2,833"
"2017-2018","107","Covington City","1,051"," ","1,051"
"2017-2018","23","Craig County","614"," ","614"
"2017-2018","24","Culpeper County","8,208","2","8,210"
"2017-2018","25","Cumberland County","1,335"," ","1,335"
"2017-2018","108","Danville City","5,828"," ","5,828"
"2017-2018","26","Dickenson County","2,128"," ","2,128"
"2017-2018","27","Dinwiddie County","4,336"," ","4,336"
"2017-2018","28","Essex County","1,403"," ","1,403"
"2017-2018","29","Fairfax County","188,556","29","188,585"
"2017-2018","109","Falls Church City","2,677","3","2,680"
"2017-2018","30","Fauquier County","11,140","3","11,143"
"2017-2018","31","Floyd County","2,031","6","2,037"
"2017-2018","32","Fluvanna County","3,589"," ","3,589"
"2017-2018","135","Franklin City","1,119"," ","1,119"
"2017-2018","33","Franklin County","7,270"," ","7,270"
"2017-2018","34","Frederick County","13,525"," ","13,525"
"2017-2018","110","Fredericksburg City","3,617"," ","3,617"
"2017-2018","111","Galax City","1,302"," ","1,302"
"2017-2018","35","Giles County","2,484"," ","2,484"
"2017-2018","36","Gloucester County","5,439"," ","5,439"
"2017-2018","37","Goochland County","2,625","4","2,629"
"2017-2018","38","Grayson County","1,584"," ","1,584"
"2017-2018","39","Greene County","3,112"," ","3,112"
"2017-2018","40","Greensville County","2,382"," ","2,382"
"2017-2018","41","Halifax County","5,101"," ","5,101"
"2017-2018","112","Hampton City","19,907","4","19,911"
"2017-2018","42","Hanover County","18,000"," ","18,000"
"2017-2018","113","Harrisonburg City","6,301"," ","6,301"
"2017-2018","43","Henrico County","51,625"," ","51,625"
"2017-2018","44","Henry County","7,479"," ","7,479"
"2017-2018","45","Highland County","209"," ","209"
"2017-2018","114","Hopewell City","4,343"," ","4,343"
"2017-2018","46","Isle of Wight County","5,474","2","5,476"
"2017-2018","48","King George County","4,530","2","4,532"
"2017-2018","50","King William County","2,194"," ","2,194"
"2017-2018","49","King and Queen County","832"," ","832"
"2017-2018","51","Lancaster County","1,154"," ","1,154"
"2017-2018","52","Lee County","3,261"," ","3,261"
"2017-2018","137","Lexington City","515"," ","515"
"2017-2018","53","Loudoun County","80,606","329","80,935"
"2017-2018","54","Louisa County","4,900"," ","4,900"
"2017-2018","55","Lunenburg County","1,528"," ","1,528"
"2017-2018","115","Lynchburg City","8,380","33","8,413"
"2017-2018","56","Madison County","1,708","61","1,769"
"2017-2018","143","Manassas City","7,820"," ","7,820"
"2017-2018","144","Manassas Park City","3,723"," ","3,723"
"2017-2018","116","Martinsville City","2,016"," ","2,016"
"2017-2018","57","Mathews County","1,082"," ","1,082"
"2017-2018","58","Mecklenburg County","4,338"," ","4,338"
"2017-2018","59","Middlesex County","1,284"," ","1,284"
"2017-2018","60","Montgomery County","9,866","69","9,935"
"2017-2018","62","Nelson County","1,882"," ","1,882"
"2017-2018","63","New Kent County","3,244"," ","3,244"
"2017-2018","117","Newport News City","28,681","3","28,684"
"2017-2018","118","Norfolk City","30,776"," ","30,776"
"2017-2018","65","Northampton County","1,654"," ","1,654"
"2017-2018","66","Northumberland County","1,314"," ","1,314"
"2017-2018","119","Norton City","798"," ","798"
"2017-2018","67","Nottoway County","2,057"," ","2,057"
"2017-2018","68","Orange County","5,064","6","5,070"
"2017-2018","69","Page County","3,361","5","3,366"
"2017-2018","70","Patrick County","2,730","1","2,731"
"2017-2018","120","Petersburg City","4,193","2","4,195"
"2017-2018","71","Pittsylvania County","8,998","1","8,999"
"2017-2018","142","Poquoson City","2,105","24","2,129"
"2017-2018","121","Portsmouth City","14,339"," ","14,339"
"2017-2018","72","Powhatan County","4,289","8","4,297"
"2017-2018","73","Prince Edward County","2,059","1","2,060"
"2017-2018","74","Prince George County","6,328"," ","6,328"
"2017-2018","75","Prince William County","90,562","33","90,595"
"2017-2018","77","Pulaski County","4,193"," ","4,193"
"2017-2018","122","Radford City","1,613"," ","1,613"
"2017-2018","78","Rappahannock County","851"," ","851"
"2017-2018","123","Richmond City","25,015"," ","25,015"
"2017-2018","79","Richmond County","1,322"," ","1,322"
"2017-2018","124","Roanoke City","13,788"," ","13,788"
"2017-2018","80","Roanoke County","14,155"," ","14,155"
"2017-2018","81","Rockbridge County","2,830"," ","2,830"
"2017-2018","82","Rockingham County","11,805","12","11,817"
"2017-2018","83","Russell County","3,826"," ","3,826"
"2017-2018","139","Salem City","3,953"," ","3,953"
"2017-2018","84","Scott County","3,545","1","3,546"
"2017-2018","85","Shenandoah County","6,060"," ","6,060"
"2017-2018","86","Smyth County","4,431"," ","4,431"
"2017-2018","87","Southampton County","2,800"," ","2,800"
"2017-2018","88","Spotsylvania County","23,794","14","23,808"
"2017-2018","89","Stafford County","28,936","177","29,113"
"2017-2018","126","Staunton City","2,701"," ","2,701"
"2017-2018","127","Suffolk City","14,359"," ","14,359"
"2017-2018","90","Surry County","792"," ","792"
"2017-2018","91","Sussex County","1,077","3","1,080"
"2017-2018","92","Tazewell County","5,790"," ","5,790"
"2017-2018","128","Virginia Beach City","68,986"," ","68,986"
"2017-2018","93","Warren County","5,390","5","5,395"
"2017-2018","94","Washington County","7,233","14","7,247"
"2017-2018","130","Waynesboro City","3,086","4","3,090"
"2017-2018","207","West Point","812"," ","812"
"2017-2018","95","Westmoreland County","1,609","1","1,610"
"2017-2018","131","Williamsburg-James City County","11,667","186","11,853"
"2017-2018","132","Winchester City","4,385"," ","4,385"
"2017-2018","96","Wise County","5,827"," ","5,827"
"2017-2018","97","Wythe County","4,150"," ","4,150"
"2017-2018","98","York County","12,576","234","12,810"
"2018-2019","1","Accomack County","5,115","1","5,116"
"2018-2019","2","Albemarle County","13,994","19","14,013"
"2018-2019","101","Alexandria City","15,966","2","15,968"
"2018-2019","3","Alleghany County","2,084"," ","2,084"
"2018-2019","4","Amelia County","1,761"," ","1,761"
"2018-2019","5","Amherst County","4,078"," ","4,078"
"2018-2019","6","Appomattox County","2,221"," ","2,221"
"2018-2019","7","Arlington County","27,434"," ","27,434"
"2018-2019","8","Augusta County","10,406","1","10,407"
"2018-2019","9","Bath County","543"," ","543"
"2018-2019","10","Bedford County","9,632","2","9,634"
"2018-2019","11","Bland County","736"," ","736"
"2018-2019","12","Botetourt County","4,659"," ","4,659"
"2018-2019","102","Bristol City","2,271"," ","2,271"
"2018-2019","13","Brunswick County","1,616"," ","1,616"
"2018-2019","14","Buchanan County","2,758"," ","2,758"
"2018-2019","15","Buckingham County","2,127"," ","2,127"
"2018-2019","103","Buena Vista City","918"," ","918"
"2018-2019","16","Campbell County","7,890","1","7,891"
"2018-2019","17","Caroline County","4,214"," ","4,214"
"2018-2019","18","Carroll County","3,762"," ","3,762"
"2018-2019","19","Charles City County","633"," ","633"
"2018-2019","20","Charlotte County","1,850"," ","1,850"
"2018-2019","104","Charlottesville City","4,559","2","4,561"
"2018-2019","136","Chesapeake City","40,879","19","40,898"
"2018-2019","21","Chesterfield County","61,552","56","61,608"
"2018-2019","22","Clarke County","1,966","5","1,971"
"2018-2019","202","Colonial Beach","671"," ","671"
"2018-2019","106","Colonial Heights City","2,866"," ","2,866"
"2018-2019","107","Covington City","1,070"," ","1,070"
"2018-2019","23","Craig County","602"," ","602"
"2018-2019","24","Culpeper County","8,235"," ","8,235"
"2018-2019","25","Cumberland County","1,366"," ","1,366"
"2018-2019","108","Danville City","5,686"," ","5,686"
"2018-2019","26","Dickenson County","2,054"," ","2,054"
"2018-2019","27","Dinwiddie County","4,379"," ","4,379"
"2018-2019","28","Essex County","1,322"," ","1,322"
"2018-2019","29","Fairfax County","187,797","33","187,830"
"2018-2019","109","Falls Church City","2,620","1","2,621"
"2018-2019","30","Fauquier County","11,186","3","11,189"
"2018-2019","31","Floyd County","1,966","9","1,975"
"2018-2019","32","Fluvanna County","3,590"," ","3,590"
"2018-2019","135","Franklin City","1,075"," ","1,075"
"2018-2019","33","Franklin County","7,062"," ","7,062"
"2018-2019","34","Frederick County","13,627"," ","13,627"
"2018-2019","110","Fredericksburg City","3,710"," ","3,710"
"2018-2019","111","Galax City","1,321"," ","1,321"
"2018-2019","35","Giles County","2,445","3","2,448"
"2018-2019","36","Gloucester County","5,408"," ","5,408"
"2018-2019","37","Goochland County","2,676","1","2,677"
"2018-2019","38","Grayson County","1,542"," ","1,542"
"2018-2019","39","Greene County","3,001"," ","3,001"
"2018-2019","40","Greensville County","2,243"," ","2,243"
"2018-2019","41","Halifax County","4,960"," ","4,960"
"2018-2019","112","Hampton City","19,589","5","19,594"
"2018-2019","42","Hanover County","17,726","1","17,727"
"2018-2019","113","Harrisonburg City","6,437","3","6,440"
"2018-2019","43","Henrico County","51,523"," ","51,523"
"2018-2019","44","Henry County","7,455"," ","7,455"
"2018-2019","45","Highland County","205"," ","205"
"2018-2019","114","Hopewell City","4,372"," ","4,372"
"2018-2019","46","Isle of Wight County","5,531","1","5,532"
"2018-2019","48","King George County","4,477"," ","4,477"
"2018-2019","50","King William County","2,227"," ","2,227"
"2018-2019","49","King and Queen County","829"," ","829"
"2018-2019","51","Lancaster County","1,136"," ","1,136"
"2018-2019","52","Lee County","3,254"," ","3,254"
"2018-2019","137","Lexington City","522"," ","522"
"2018-2019","53","Loudoun County","81,906","332","82,238"
"2018-2019","54","Louisa County","4,906"," ","4,906"
"2018-2019","55","Lunenburg County","1,551"," ","1,551"
"2018-2019","115","Lynchburg City","8,263","23","8,286"
"2018-2019","56","Madison County","1,690","53","1,743"
"2018-2019","143","Manassas City","7,723"," ","7,723"
"2018-2019","144","Manassas Park City","3,724"," ","3,724"
"2018-2019","116","Martinsville City","1,942"," ","1,942"
"2018-2019","57","Mathews County","1,064"," ","1,064"
"2018-2019","58","Mecklenburg County","4,215"," ","4,215"
"2018-2019","59","Middlesex County","1,222"," ","1,222"
"2018-2019","60","Montgomery County","9,924","54","9,978"
"2018-2019","62","Nelson County","1,807"," ","1,807"
"2018-2019","63","New Kent County","3,306","1","3,307"
"2018-2019","117","Newport News City","28,652","2","28,654"
"2018-2019","118","Norfolk City","30,087"," ","30,087"
"2018-2019","65","Northampton County","1,607"," ","1,607"
"2018-2019","66","Northumberland County","1,315"," ","1,315"
"2018-2019","119","Norton City","842"," ","842"
"2018-2019","67","Nottoway County","2,043"," ","2,043"
"2018-2019","68","Orange County","5,041","3","5,044"
"2018-2019","69","Page County","3,331","1","3,332"
"2018-2019","70","Patrick County","2,600","1","2,601"
"2018-2019","120","Petersburg City","4,194","2","4,196"
"2018-2019","71","Pittsylvania County","8,845","1","8,846"
"2018-2019","142","Poquoson City","2,119","20","2,139"
"2018-2019","121","Portsmouth City","14,006"," ","14,006"
"2018-2019","72","Powhatan County","4,317","6","4,323"
"2018-2019","73","Prince Edward County","2,079"," ","2,079"
"2018-2019","74","Prince George County","6,360"," ","6,360"
"2018-2019","75","Prince William County","90,843","33","90,876"
"2018-2019","77","Pulaski County","4,081"," ","4,081"
"2018-2019","122","Radford City","1,646"," ","1,646"
"2018-2019","78","Rappahannock County","802"," ","802"
"2018-2019","123","Richmond City","24,763"," ","24,763"
"2018-2019","79","Richmond County","1,314"," ","1,314"
"2018-2019","124","Roanoke City","13,749","5","13,754"
"2018-2019","80","Roanoke County","14,121"," ","14,121"
"2018-2019","81","Rockbridge County","2,842","1","2,843"
"2018-2019","82","Rockingham County","11,913","17","11,930"
"2018-2019","83","Russell County","3,785"," ","3,785"
"2018-2019","139","Salem City","3,958"," ","3,958"
"2018-2019","84","Scott County","3,533","1","3,534"
"2018-2019","85","Shenandoah County","6,030"," ","6,030"
"2018-2019","86","Smyth County","4,332"," ","4,332"
"2018-2019","87","Southampton County","2,869"," ","2,869"
"2018-2019","88","Spotsylvania County","23,668","15","23,683"
"2018-2019","89","Stafford County","29,270","215","29,485"
"2018-2019","126","Staunton City","2,727","1","2,728"
"2018-2019","127","Suffolk City","14,265"," ","14,265"
"2018-2019","90","Surry County","758"," ","758"
"2018-2019","91","Sussex County","1,074","4","1,078"
"2018-2019","92","Tazewell County","5,653"," ","5,653"
"2018-2019","128","Virginia Beach City","68,624"," ","68,624"
"2018-2019","93","Warren County","5,298","4","5,302"
"2018-2019","94","Washington County","7,090","3","7,093"
"2018-2019","130","Waynesboro City","3,032","2","3,034"
"2018-2019","207","West Point","813"," ","813"
"2018-2019","95","Westmoreland County","1,651"," ","1,651"
"2018-2019","131","Williamsburg-James City County","11,666","147","11,813"
"2018-2019","132","Winchester City","4,357"," ","4,357"
"2018-2019","96","Wise County","5,755"," ","5,755"
